Preferred Label,Synonyms
GM09635 cell,GM09635
ND13160 cell,ND13160
HQ00573 cell,HQ00573
GM19064 cell,GM19064
ND13325 cell,ND13325
ND00164 cell,ND00164
GM03368-0 cell,GM03368-0
GM11983 cell,GM11983
immortal electrically responsive cell line cell,
PR00657 cell,PR00657
ND09404 cell,ND09404
GM17735 cell,GM17735
GM06981 cell,GM06981
GM12889 cell,GM12889
HEV0234 cell,HEV0234
GM05342 cell,GM05342
DA01591 cell,DA01591
IGF109/80 cell,IGF109/80
HSC0030 cell,HSC0030|YAN3265
HQ00849 cell,HQ00849
SVEC4-10 cell,SVEC4-10
ND08851 cell,ND08851
MOLT-3 cell,MOLT-3
MBL-Sm-4B1 cell,MBL-Sm-4B1
IGL009/01 cell,IGL009/01
GM00149 cell,GM00149
GM15581 cell,GM15581
DT95 cell,DT95
GM13258 cell,GM13258
GM12141 cell,GM12141
ND10180 cell,ND10180
cardiogenic plate,cardiogenic crescent|cardiac crescent|heart rudiment|myocardial plate
proximal tubule,proximal kidney tubule|kidney proximal tubule|renal proximal tubule
DA05439 cell,DA05439
DA02819 cell,DA02819
HQ00957 cell,HQ00957
GM18542 cell,GM18542
ND08752 cell,ND08752
GM02124 cell,GM02124
increased object quality,
increased quality,
decreased object quality,
decreased quality,
fiber shaped,
DA03597 cell,DA03597
GM02171 cell,GM02171
GM17081 cell,GM17081
immortal squamate pair of lungs-derived cell line cell,
AG06306 cell,AG06306
GM13526 cell,GM13526
A101D cell,A101D
DA02546 cell,DA02546
LS-123 cell,LS-123
SW 954 cell,SW 954
C-C chemokine receptor type 7,CMKBR7|EBI1|EVI1|Ebi1h|chemokine receptor CCR7|MIP-3 beta receptor|epstein-Barr virus-induced G-protein coupled receptor 1|EBV-induced G-protein coupled receptor 1|BLR2|C-C CKR-7|CC-CKR-7|CCR-7|CCR7|CD197|CDw197
RCB2649 cell,B16 F1|RCB2649
ND12146 cell,ND12146
DA02309 cell,DA02309
ND04159 cell,ND04159
AU10139 cell,AU10139
ND05119 cell,ND05119
distal tarsal bone,cuneiform|distal tarsal bone|cuneiform bone|distal tarsal|os cuneiform|os cuneiforme
DA03247 cell,DA03247
DA02078 cell,DA02078
GM07532 cell,GM07532
IGA013/83 cell,IGA013/83
GM01301 cell,GM01301
IGF047/88 cell,IGF047/88
5beta-cholanic acid,"5beta-cholanoic acid|(5beta,17beta)-gamma-methylandrostane-17-butanoic acid|(5beta)-cholan-24-oic acid|ursocholanic acid|5beta-cholan-24-oic acid|5beta-cholanic acid"
DA01636 cell,DA01636
P1.HTR cell,P1.HTR
MM49T cell,MM49T
ND09728 cell,ND09728
ND11919 cell,ND11919
IGF053/85 cell,IGF053/85
DA01417 cell,DA01417
AG13075 cell,AG13075
ND02204 cell,ND02204
ND12145 cell,ND12145
immortal ecto-epithelial cell line cell,
G2a.5 cell,G2a.5
GM07348 cell,GM07348
IGL014/97 cell,IGL014/97
GM05165 cell,GM05165
HSC0034 cell,2C114|HSC0034
C96 cell,C96
GM02821 cell,GM02821
DA03905 cell,DA03905
Denys-Drash syndrome,
GM20396 cell,GM20396
GM00540 cell,GM00540
UC1BC3 cell,UC1BC3
DA02861 cell,DA02861
ND14364 cell,ND14364
IMG-1418 cell,IMG-1418
immortal human abdominal aorta-derived endothelial cell line cell,
disease of behavior,"[X]Mental disorder, not otherwise specified (disorder)|behavioral disease|Mental disorders NOS|Mental disorder (disorder)|SPECIAL SYMPTOM NEC/NOS|Mental health disorder|[X]Other eating disorders (disorder)|[X]Mental illness NOS|Mental disorders NOS (disorder)|Psychiatric illness|[X]Other eating disorders|Mental illness|Mental disease|Mental disorder|Other and unspecified special symptoms or syndromes, not elsewhere classified|obsolete_behavioural disease|Psychiatric disorder|[X]Mental disorder, not otherwise specified|EATING DISORDER NEC|Other disorders of eating|Mental disorder, NOS"
AG05397 cell,AG05397
IGF090/79 cell,IGF090/79
AG07672 cell,AG07672
DA00052 cell,DA00052
ND12204 cell,ND12204
GM15073 cell,GM15073
DA05883 cell,DA05883
immortal rhesus macaque abdominal cavity-derived fibroblast cell line cell,
GM20805 cell,GM20805
GM02103 cell,GM02103
RCB1960 cell,HuCCT1|RCB1960
PR01403 cell,PR01403
GM17354 cell,GM17354
ND10529 cell,ND10529
DA04900 cell,DA04900
DA00046 cell,DA00046
HQ00130 cell,HQ00130
immortal horse septum of telencephalon-derived cell line cell,
ND05948 cell,ND05948
NCI-H1105 cell,NCI-H1105
AG09319 cell,AG09319
ND09137 cell,ND09137
GM12749 cell,GM12749
GM02053 cell,GM02053
HEV0051 cell,HEV0051
GM19327 cell,GM19327
GM18038 cell,GM18038
GM13263 cell,GM13263
ND00204 cell,ND00204
skin neoplasm,"""skin neoplasm"" EXACT [CSP2005:2020-0536]|""tumor of the skin"" EXACT [NCI2004_11_17:C3372]|""neoplasm of skin (disorder)"" EXACT [SNOMEDCT_2005_07_31:126488004]|""neoplasm of skin by site"" EXACT [SNOMEDCT_2005_07_31:363230005]"
DA04676 cell,DA04676
RTG-P1 cell,RTG-P1
DA01231 cell,DA01231
DA03142 cell,DA03142
HSF cell,HSF
F2 cell,F2
GM09679 cell,GM09679
GM17757 cell,GM17757
DA02434 cell,DA02434
Hs 688(A).T cell,Hs 688(A).T
DA00268 cell,DA00268
GM04858 cell,GM04858
Hs 397.Lu cell,Hs 397.Lu
AG07998 cell,AG07998
KMC8.8 cell,KMC8.8
HQ00782 cell,HQ00782
L-M92 cell,L-M92
cytoplasmic vesicle membrane,
immortal liver-derived fibroblast cell line cell,
GM14881 cell,GM14881
RCB0583 cell,RCB0583|SF8405
immortal mouse aorta-derived cell line cell,
SCH cell,SCH
immortal mouse megakaryocyte-erythroid progenitor cell line cell,
DA00601 cell,DA00601
HQ00424 cell,HQ00424
S-F95 cell,S-F95
ND00613 cell,ND00613
ND00676 cell,ND00676
GM16096 cell,GM16096
ND05484 cell,ND05484
GM21122 cell,GM21122
AG10293 cell,AG10293
ND00102 cell,ND00102
GM17078 cell,GM17078
DA01333 cell,DA01333
GM03224 cell,GM03224
pigment epithelium of eye,eye pigment epithelium
GM20392 cell,GM20392
GM05877 cell,GM05877
AG09397 cell,AG09397
blood coagulation disorder,"""postpartum coagulation defect with delivery"" EXACT []|""postpartum coagulation defect"" EXACT []"
DA05953 cell,DA05953
ND04513 cell,ND04513
NCI-H716 cell,NCI-H716
AG03829 cell,AG03829
ND04850 cell,ND04850
Protostomia,
LM00004 cell,LM00004
ND02921 cell,ND02921
MSF05 cell,
IGF120/83 cell,IGF120/83
GM09197 cell,GM09197
PR01131 cell,PR01131
AG10589 cell,AG10589
GM18420 cell,GM18420
GM06074 cell,GM06074
ND05371 cell,ND05371
musculoskeletal system,musculo-skeletal system
vasculature of eye,eye vasculature|optic vasculature|eye vascular network|vascular network of eye|ocular blood vessel|ocular vasculature
vasculature of head,head vasculature|vascular network of adult head|adult head vascular network|head vascular network|cranial vasculature|vascular network of head|adult head vasculature|vasculature of adult head
immortal human iliac vein-derived smooth muscle cell line cell,
ND00315 cell,ND00315
DA03038 cell,DA03038
GM09833 cell,GM09833
ND14516 cell,ND14516
GM11129 cell,GM11129
ND10380 cell,ND10380
GM16402 cell,GM16402
GM03469 cell,GM03469
GM09054 cell,GM09054
HQ00066 cell,HQ00066
RCB0657 cell,HOKUG|RCB0657
IGF060/86 cell,IGF060/86
IMG-973 cell,IMG-973
ND11725 cell,ND11725
ND07926 cell,ND07926
DA01014 cell,DA01014
DA03614 cell,DA03614
PR00592 cell,PR00592
ND04402 cell,ND04402
GM01863 cell,GM01863
HEK293T-derived cell,Human Embryonic Kidney 293T-derived cell
immortal pygmy marmoset skin-derived fibroblast cell line cell,
exocytosis,nonselective vesicle exocytosis|vesicle exocytosis
IGF018/88 cell,IGF018/88
AG13274 cell,AG13274
FH 64 cell,FH 64
DA03212 cell,DA03212
GM10826 cell,GM10826
ND04160 cell,ND04160
IMG-771 cell,IMG-771
GM11838 cell,GM11838
GM15325 cell,GM15325
IGF007/85 cell,IGF007/85
GM17197 cell,GM17197
GM02598 cell,GM02598
immortal dog organism part-derived fibroblast cell line cell,
GM00013 cell,GM00013
DA00407 cell,DA00407
GM10261 cell,GM10261
DA04745 cell,DA04745
IGF053/92 cell,IGF053/92
DA03174 cell,DA03174
GM17809 cell,GM17809
GM05031 cell,GM05031
ND11935 cell,ND11935
GM14406 cell,GM14406
Ishikawa 3-H-12 cell,Ishikawa3-H-12|Ishikawa-3H12|Ishikawa-3H-12|Ishikawa clone 3-H-12|Ishikawa-H-12|Ishikawa 3 H 12|Ishikawa (London) 02ER+|Ishikawa 3H12|ECC-1
GM21448 cell,GM21448
FH 52 cell,FH 52
GM15512 cell,GM15512
3C10 cell,3C10
ND02141 cell,ND02141
ND11193 cell,ND11193
RCB2298 cell,TAK1^(-)DT40|RCB2298
IGF052/99 cell,IGF052/99
GM16449 cell,GM16449
GM15440 cell,GM15440
Prader-Willi syndrome,"""Prader-Willi syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:89392001]|""Prader - Willi syndrome"" EXACT [SNOMEDCT_2005_07_31:205794007]|""Prader-Willi syndrome"" EXACT [ICD9CM_2006:759.81]|""Prader Willi syndrome"" EXACT [CSP2005:1849-7731]"
GM16180 cell,GM16180
ND05721 cell,ND05721
ND05277 cell,ND05277
DA05262 cell,DA05262
GM19129 cell,GM19129
GM09852 cell,GM09852
GM00346 cell,GM00346
inborn metabolic brain disease,
DA02601 cell,DA02601
GM17454 cell,GM17454
DA03908 cell,DA03908
GM17741 cell,GM17741
DA05449 cell,DA05449
ND13976 cell,ND13976
ND04431 cell,ND04431
ND05654 cell,ND05654
DA04932 cell,DA04932
GM03932 cell,GM03932
ND04123 cell,ND04123
GM11957 cell,GM11957
L Cells cell,L Cells
ND05720 cell,ND05720
CF37.Mg cell,CF37.Mg
M-7 cell,M-7
ND14940 cell,ND14940
IGF007/95 cell,IGF007/95
ND11983 cell,ND11983
ND03085 cell,ND03085
DA05767 cell,DA05767
GM19161 cell,GM19161
RIIIMT cell,RIIIMT
ND02534 cell,ND02534
CLN cell,CLN
GM14173 cell,GM14173
AG11561 cell,AG11561
Hs 156.T cell,Hs 156.T
AG03258 cell,AG03258
CHO K1 cell,CHO K1
immortal mouse precursor B cell line cell,
GM13675 cell,GM13675
AG07576 cell,AG07576
HQ00851 cell,HQ00851
RCB2337 cell,RCB2337|V79B
B85 cell,B85
GM10641 cell,GM10641
ND11148 cell,ND11148
IGF055/95 cell,IGF055/95
regulation of systemic arterial blood pressure by vasopressin,vasopressin control of blood pressure|blood pressure regulation by vasopressin
regulation of systemic arterial blood pressure by hormone,hormonal control of blood pressure|blood pressure regulation by hormone|hormonal regulation of blood pressure
IMG-819 XP8CA cell,IMG-819 XP8CA
ND03486 cell,ND03486
A84M cell,A84M
GM08662 cell,GM08662
GM17383 cell,GM17383
AU10167 cell,AU10167
ND10337 cell,ND10337
ND10848 cell,ND10848
ND06970 cell,ND06970
ND00103 cell,ND00103
DA05979 cell,DA05979
GM07674 cell,GM07674
DA03265 cell,DA03265
GM18050 cell,GM18050
GM02003 cell,GM02003
DA01821 cell,DA01821
ND11970 cell,ND11970
IMG-707 cell,IMG-707
neurodegenerative disease,"""Neurodegenerative disease"" EXACT [NCI2004_11_17:C4802]"
DA04713 cell,DA04713
GM17605 cell,GM17605
ND02958 cell,ND02958
GM02566 cell,GM02566
GM06893 cell,GM06893
GM12094 cell,GM12094
ND14678 cell,ND14678
LB1047-RCC cell,LB1047-RCC
HEV0057 cell,HEV0057
AG16758 cell,AG16758
DA03021 cell,DA03021
GM15890 cell,GM15890
immortal human sacrum-derived fibroblast cell line cell,
7D2-1.4.1.5 cell,7D2-1.4.1.5
DA01601 cell,DA01601
IMG-649 cell,IMG-649
Canavan disease,"""Spongy degeneration of central nervous system (disorder)"" EXACT [SNOMEDCT_2005_07_31:80544005]"
GM20545 cell,GM20545
ND10361 cell,ND10361
carboacyl group,carboxylic acyl groups|carboxylic acyl group|carboacyl groups
RCB1800 cell,BP13(R2)|RCB1800
GM02770 cell,GM02770
TF-1.CN5a.1 cell,TF-1.CN5a.1
polyneuropathy,"""Polyneuropathy unspecified (disorder)"" EXACT [SNOMEDCT_2005_07_31:307326004]|""Polyneuropathy (disorder)"" EXACT [SNOMEDCT_2005_07_31:42345000]|""Polyneuropathy unspecified"" EXACT [SNOMEDCT_2005_07_31:193204000]|""Polyneuropathy, unspecified (disorder)"" EXACT [SNOMEDCT_2005_07_31:194530007]"
HQ00567 cell,HQ00567
ND11227 cell,ND11227
MB-021 cell,MB-021
neuroblastoma,
retinoblastoma,"""Retinoblastomas (morphologic abnormality)"" EXACT [SNOMEDCT_2005_07_31:189934006]|""retinoblastoma"" EXACT [CSP2005:2018-3452]|""Retinoblastoma NOS (morphologic abnormality)"" EXACT [SNOMEDCT_2005_07_31:189935007]|""neuroblastoma of Retina"" EXACT [NCI2004_11_17:C6956]|""Retinoblastoma (disorder)"" EXACT [SNOMEDCT_2005_07_31:370967009]|""RB - Retinoblastoma"" EXACT [SNOMEDCT_2005_07_31:134191003]|""Retinoblastoma (morphologic abnormality)"" EXACT [SNOMEDCT_2005_07_31:19906005]|""RB"" EXACT [NCI2004_11_17:C7541]"
muscular atrophy,"""Muscular atrophy"" EXACT [SNOMEDCT_2005_07_31:267693003]|""Amyotrophia NOS"" EXACT [MTHICD9_2006:728.2]|""Muscle wasting"" EXACT [SNOMEDCT_2005_07_31:249827008]|""Muscle atrophy (disorder)"" EXACT [SNOMEDCT_2005_07_31:88092000]|""Muscular atrophy"" EXACT [SNOMEDCT_2005_07_31:155014006]|""Wasting - muscle"" EXACT [SNOMEDCT_2005_07_31:268104000]|""Wasting - muscle"" EXACT [SNOMEDCT_2005_07_31:156721007]|""Amyotrophia NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:203036002]"
DA03485 cell,DA03485
immortal chordate pharynx-derived cell line cell,
metal cation,a metal cation|metal cations
GM20530 cell,GM20530
regulation of body fluid levels,
nervous system process,pan-neural process|neurophysiological process|neurological system process
Hs 280.T cell,Hs 280.T
Hs913T cell,Hs913T
DA00822 cell,DA00822
DA01831 cell,DA01831
FIB-DUP4 cell,FIB-DUP4
GM00412 cell,GM00412
AG06269 cell,AG06269
GM15221 cell,GM15221
ND03310 cell,ND03310
GM11849 cell,GM11849
Hs 728.Sp cell,Hs 728.Sp
GM00156 cell,GM00156
zwitterion,zwitterionic compounds|compuestos zwitterionicos|compose zwitterionique|zwitteriones|zwitterions|zwitterion
GM18133 cell,GM18133
DA02132 cell,DA02132
ND07947 cell,ND07947
GM09488 cell,GM09488
RCB2296 cell,CARMA1^(-)DT40|RCB2296
ND07925 cell,ND07925
DA05450 cell,DA05450
IGF010/90 cell,IGF010/90
GM20512 cell,GM20512
ND02403 cell,ND02403
IGL023/98 cell,IGL023/98
ND12055 cell,ND12055
lip disease,"""disease of lips"" EXACT [ICD9CM_2006:528.5]|""disorder of lip (disorder)"" EXACT [SNOMEDCT_2005_07_31:90678009]|""disease of lips NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:196563002]|""Lip disorder"" EXACT [NCI2004_11_17:C26818]"
HQ00785 cell,HQ00785
Clone C6/36 cell,Clone C6/36
HEV0032 cell,HEV0032
DA03415 cell,DA03415
IGF090/84 cell,IGF090/84
MVPK-1 cell,MVPK-1
AG15791 cell,AG15791
DA01155 cell,DA01155
PAB-122 cell,PAB-122
ND06785 cell,ND06785
IGF006/87 cell,IGF006/87
ND12420 cell,ND12420
ND12561 cell,ND12561
GM06914 cell,GM06914
GM06221 cell,GM06221
AU10096 cell,AU10096
DA05079 cell,DA05079
ND02979 cell,ND02979
FIB-PSE32 cell,FIB-PSE32
DA03789 cell,DA03789
DA04756 cell,DA04756
ND00083 cell,ND00083
ND14071 cell,ND14071
JVM-3 cell,JVM-3
DA00451 cell,DA00451
DA04628 cell,DA04628
DA01280 cell,DA01280
GM06077 cell,GM06077
ND10470 cell,ND10470
ND09510 cell,ND09510
LC-1 sq cell,LC-1 sq
IGF022/83 cell,IGF022/83
M3 Clone M-3 cell,M3 Clone M-3
GM03910 cell,GM03910
IGF024/85 cell,IGF024/85
DA01053 cell,DA01053
GM06030 cell,GM06030
GM05923 cell,GM05923
DA04723 cell,DA04723
GM04890 cell,GM04890
RCB1716 cell,BCAP^(-) DT40|RCB1716
acyl group,groupe acyle|acyl groups|alkanoyl group|acyl group|alkanoyl
LAP 4108-6 cell,LAP 4108-6
ND14621 cell,ND14621
IGF028/88 cell,IGF028/88
DA05293 cell,DA05293
CRI-D11 cell,CRI-D11
IGF072/86 cell,IGF072/86
GH354 cell,GH354
GM20237 cell,GM20237
ND12008 cell,ND12008
GM15689 cell,GM15689
ND11772 cell,ND11772
Rattus norvegicus,rat|Norway rat|rats|brown rat
HUPEC 005 FSGS G1/G2 cell,
GM00499 cell,GM00499
GM10497 cell,GM10497
DA01234 cell,DA01234
DA01118 cell,DA01118
DA02030 cell,DA02030
ND14306 cell,ND14306
IGF014/00 cell,IGF014/00
EH/A44 cell,EH/A44
GM18579 cell,GM18579
ND10828 cell,ND10828
RCB1955 cell,KMST-6|RCB1955
DA05987 cell,DA05987
ND10587 cell,ND10587
MPC-5 cell,Mouse Podocyte Clone-5
ND12694 cell,ND12694
AG09945 cell,AG09945
ND07830 cell,ND07830
DA00339 cell,DA00339
SCC-9 cell,SCC-9
T cell activation,T-cell activation|T lymphocyte activation|T-lymphocyte activation
B cell activation,B lymphocyte activation|B-lymphocyte activation|B-cell activation
DA00696 cell,DA00696
DA05383 cell,DA05383
CS52iALS-n6A cell,
GM09659 cell,GM09659
RCB2618 cell,BCL1-B20|RCB2618
HCC2935 cell,HCC2935
ND11234 cell,ND11234
ND02291 cell,ND02291
RCB2076 cell,Has|RCB2076
ND10543 cell,ND10543
HQ00181 cell,HQ00181
S-L90f cell,S-L90f
ND03835 cell,ND03835
IGF088/82 cell,IGF088/82
DA05189 cell,DA05189
GM11929 cell,GM11929
Dictyostelia,Dictyostelids|Dictyostelida|Dictyosteliida|cellular slime molds|dictyostelid cellular slime molds
GM50164 cell,GM50164
GM17699 cell,GM17699
C1300 CLONE NA cell,C1300 CLONE NA
AG06062 cell,AG06062
AE 2 cell,AE 2
GM00910 cell,GM00910
ND12521 cell,ND12521
DG 2 cell,DG 2
PVBC-OI332 cell,PVBC-OI332
ND14953 cell,ND14953
GM19685 cell,GM19685
IGF045/84 cell,IGF045/84
GM11253 cell,GM11253
UACC-812 cell,UACC-812
IGF058/93 cell,IGF058/93
U-2 OS cell,U-2 OS|U2OS
DA03577 cell,DA03577
GM08989 cell,GM08989
DA06379 cell,DA06379
ND14668 cell,ND14668
P116.cl39 cell,P116.cl39
anion,Anionen|aniones|anions|Anion|anion
DA04718 cell,DA04718
AG11651 cell,AG11651
GM17305 cell,GM17305
RPMI 7666 cell,RPMI 7666
GM12566 cell,GM12566
ND10015 cell,ND10015
AG11696 cell,AG11696
DA05571 cell,DA05571
Hs 832(C).T cell,Hs 832(C).T
DA05163 cell,DA05163
DA01944 cell,DA01944
IGF036/89 cell,IGF036/89
RCB1864 cell,GRP3^(-)DT40|RCB1864
C211 cell,C211
Klippel-Feil syndrome,"""Klippel-Feil syndrome NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:205441002]|""Klippel-Feil syndrome"" EXACT [SNOMEDCT_2005_07_31:268349005]|""Klippel-Feil syndrome"" EXACT [ICD9CM_2006:756.16]|""Klippel-Feil sequence (disorder)"" EXACT [SNOMEDCT_2005_07_31:5601008]|""Klippel-Feil and Turner syndrome"" EXACT [SNOMEDCT_2005_07_31:129581007]|""Klippel-Feil syndrome"" EXACT [SNOMEDCT_2005_07_31:157003009]|""Congenital dystrophia brevicollis"" EXACT [SNOMEDCT_2005_07_31:388981000]"
GM15639 cell,GM15639
CML-T1 cell,CML-T1
"immortal European rabbit, rabbit synovial membrane of synovial joint-derived cell line cell",
GM19184 cell,GM19184
GM21455 cell,GM21455
ND02652 cell,ND02652
ND14286 cell,ND14286
GM08986 cell,GM08986
immortal human arm-derived fibroblast cell line cell,
GM15686 cell,GM15686
extracellular vesicle,microparticle
RCB2095 cell,PANC-1|RCB2095
HQ00569 cell,HQ00569
ND12217 cell,ND12217
AG08836 cell,AG08836
RCB2648 cell,D4|RCB2648
AG01440 cell,AG01440
S003612 cell,S003612
DA04919 cell,DA04919
immortal abdominal cavity-derived fibroblast cell line cell,
endocervix,
secretion of exocrine gland,exocrine gland fluid|external secretion|exocrine gland secretion|exocrine gland fluid or secretion|secretion|bodily secretion|secreted substance|exocrine gland fluid/secretion
GM11031 cell,GM11031
GM14044 cell,GM14044
RCB1212 cell,Anti-PT-S1-3F10|RCB1212
ND02180 cell,ND02180
GM18149 cell,GM18149
ND11296 cell,ND11296
GM20236 cell,GM20236
aBL5C2.870009 cell,aBL5C2.870009
DA04584 cell,DA04584
Hs 132.T cell,Hs 132.T
HQ00780 cell,HQ00780
SNU-449 cell,SNU-449
ND09834 cell,ND09834
ND12600 cell,ND12600
PR00732 cell,PR00732
SC-75 cell,SC-75
DA01875 cell,DA01875
R-G196 cell,R-G196
ND09072 cell,ND09072
PR00230 cell,PR00230
GM07496 cell,GM07496
DA00722 cell,DA00722
ND11480 cell,ND11480
AG95P cell,AG95P
ND16088 cell,ND16088
cholane,cholane
ND10841 cell,ND10841
GM13853 cell,GM13853
IGF125/81 cell,IGF125/81
HQ00819 cell,HQ00819
A-B92a cell,A-B92a
GM01880 cell,GM01880
GM17746 cell,GM17746
FC47 cell,FC47
GM12624 cell,GM12624
ND13453 cell,ND13453
huFasM3 cell,huFasM3
AG11718 cell,AG11718
GM11930 cell,GM11930
GM50097 cell,GM50097
HS-5 cell,HS-5
ND04188 cell,ND04188
GM10536 cell,GM10536
TTDH7PV cell,TTDH7PV
AG10819 cell,AG10819
RAT-2 cell,RAT-2
DA04849 cell,DA04849
Z-C93a cell,Z-C93a
ciliary muscle,Bowman`s muscles|musculus ciliaris|ciliaris|musculus ciliarus
immortal red-crowned mangabey skin-derived fibroblast cell line cell,
HQ00194 cell,HQ00194
IGF042/88 cell,IGF042/88
DA01962 cell,DA01962
RCB0146 cell,P3-X63-Ag8.653|RCB0146
SW-13 cell,SW-13
DA03627 cell,DA03627
HQ00371 cell,HQ00371
GM21757 cell,GM21757
A498 cell,A498
GM21404 cell,GM21404
RCB0788 cell,FCP-S6H|RCB0788
inborn errors of amino acid metabolism,
HQ00715 cell,HQ00715
GM11870 cell,GM11870
gastric acid secretion,hydrochloric acid secretion
ND14661 cell,ND14661
MR cell,MR
IGF120/82 cell,IGF120/82
COL-7 cell,COL-7
IGF005/92 cell,IGF005/92
ND10248 cell,ND10248
AG14949 cell,AG14949
IGF059/83 cell,IGF059/83
ND13364 cell,ND13364
DA05700 cell,DA05700
DA00750 cell,DA00750
Panc 03.27 cell,Panc 03.27
DA00392 cell,DA00392
layer of muscle tissue,
immortal human mesothelium-derived cell line cell,
IGF078/91 cell,IGF078/91
somite,somitic mesoderm|epithelial somite|epimere mesoderm|epimere|somites|somitus|mesodermal cluster
notochord,notochorda|embryonic notocord|notocord
coelemic cavity lumen,ventral body cavity|celom|coelom|coelome|hemocoel|body cavity|space of body compartment|main body cavity|coelomic cavity lumen|coelomic cavity
AG08608 cell,AG08608
ND00215 cell,ND00215
DA01625 cell,DA01625
ND12973 cell,ND12973
GM10527 cell,GM10527
ND11057 cell,ND11057
AC-1M81 cell,AC-1M81
ND12046 cell,ND12046
Bacteria,Prokaryotae|prokaryotes|Procaryotae|Monera|Prokaryota|bacteria|prokaryote|eubacteria|eubacteria
GM11429 cell,GM11429
ND02189 cell,ND02189
COLO 699N cell,COLO 699N
DA03129 cell,DA03129
ND04743 cell,ND04743
SD-1 cell,SD-1
C93 cell,C93
ND01453 cell,ND01453
ND12465 cell,ND12465
IGF066/89 cell,IGF066/89
D2085 cell,D2085
DA02443 cell,DA02443
respiratory system disease,"ALVEOL PNEUMONOPATHY NOS|Respiratory system diseases NOS (disorder)|LUNG INVOLV IN OTH DIS|RESP COND: EXT AGENT NEC|Respiratory disease|Disorder of respiratory system (disorder)|Respiratory Disorder|MEDIASTINUM DISEASE NEC|Lung involvement in other diseases classified elsewhere|RESP SYSTEM DISEASE NEC|Other diseases of respiratory system NOS (disorder)|Disorder of respiratory system|[X]Chronic and other pulmonary manifestations due to radiation|Disease of respiratory system (disorder)|Other respiratory system diseases|[X]Respiratory conditions due to unspecified external agent (disorder)|Other diseases of mediastinum, not elsewhere classified|Other specified alveolar and parietoalveolar pneumonopathies|Respiratory disorder, NOS|Respiratory system diseases NOS|CHR PUL MANIF D/T RADIAT|Pneumoconiosis due to other inorganic dust|[X]Chronic and other pulmonary manifestations due to radiation (disorder)|Other respiratory system diseases NOS|[X]Respiratory conditions due to other specified external agents (disorder)|[X]Other diseases of the respiratory system (disorder)|Respiratory conditions due to other specified external agents|RESP SYSTEM DISEASE NOS|Other respiratory system diseases NOS (disorder)|Respiratory conditions due to unspecified external agent|RESP COND: EXT AGENT NOS|Chronic and other pulmonary manifestations due to radiation|Unspecified alveolar and parietoalveolar pneumonopathy|respiratory system disease|[X]Respiratory conditions due to unspecified external agent|INORG DUST PNEUMOCON NEC|Disease of respiratory system|Other diseases of respiratory system NOS|[X]Respiratory conditions due to other specified external agents|[X]Other diseases of the respiratory system|ALVEOL PNEUMONOPATHY NEC|Other diseases of respiratory system, not elsewhere classified|Disease of respiratory system, NOS|Other respiratory system diseases (disorder)|Unspecified disease of respiratory system"
IGF081/91 cell,IGF081/91
immortal monkey kidney-derived cell line cell,
ND06796 cell,ND06796
ND04289 cell,ND04289
HCT-8 (HRT-18) cell,HCT-8 (HRT-18)
GM12930 cell,GM12930
DA04549 cell,DA04549
HQ00354 cell,HQ00354
IGF086/85 cell,IGF086/85
GM16003 cell,GM16003
IGF122/84 cell,IGF122/84
GM11894 cell,GM11894
162-21.2 cell,162-21.2
HQ00714 cell,HQ00714
GM12753 cell,GM12753
VX7 cell,VX7
OE19 cell,OE19
immortal dog cell line cell,
sickle cell anemia,"Sickle cell anaemia NOS|Hb S disease|HB-SS DIS NEC W CRISIS|Sickle cell syndrome|Sickle cell anemia of unspecified type (disorder)|Hb SS disease|Sickle cell anemia NOS (disorder)|Drepanocythaemia|Sickle cell anemia of unspecified type|sickle cell disease|Other sickle-cell disease with crisis|Sickle cell anaemia of unspecified type|Drepanocythemia|HB-S DIS W/O CRISIS NEC|Haemoglobin S disease|Hemoglobin SS disease without crisis (disorder)|Sickle-cell disease, unspecified|Hemoglobin S disease|Hereditary hemoglobinopathy disorder homozygous for hemoglobin S|Other sickle-cell disease without crisis|Sickle Cell Anemia|Hemoglobin S-S disease|Hemoglobin S disease without crisis (disorder)|Haemoglobin S-S disease|Hereditary hemoglobinopathy disorder homozygous for hemoglobin S (disorder)|Hb-SS disease without crisis|Sickle cell anaemia|SICKLE CELL DISEASE NOS|Sickle cell anemia NOS"
ND11386 cell,ND11386
IGF062/89 cell,IGF062/89
GM07026 cell,GM07026
dicarboxylic acid dianion,a dicarboxylate|dicarboxylates|dicarboxylate|dicarboxylic acid dianions|dicarboxylic acid dianion
GM02606 cell,GM02606
GM07523 cell,GM07523
AG01437 cell,AG01437
DA05556 cell,DA05556
Hs 864.T cell,Hs 864.T
IGF094/89 cell,IGF094/89
HL2/3,
FFC87M cell,FFC87M
Callithrix <subgenus>,Callithrix
GM05212 cell,GM05212
AG04058 cell,AG04058
DA03000 cell,DA03000
GM03300 cell,GM03300
IGF011/86 cell,IGF011/86
DA00884 cell,DA00884
DA03327 cell,DA03327
ND05481 cell,ND05481
DA00960 cell,DA00960
GM04313 cell,GM04313
